Invoice No,SalesRepID,Customer ID,Invoice Date,Due Date,Invoice Amount,Amount Paid,Outstanding Amount
INV00006,SR003,CUST101,20/11/2025 0:00,20/12/2025 0:00,12490.12,0,12490.12
INV00008,SR003,CUST067,1/3/2024 0:00,31/3/2024 0:00,12567.94,3141.98,9425.96
INV00011,SR003,CUST040,23/3/2023 0:00,22/5/2023 0:00,9354.39,9354.39,0
INV00012,SR003,CUST074,22/12/2023 0:00,21/1/2024 0:00,21564.97,0,21564.97
INV00018,SR003,CUST095,15/5/2025 0:00,14/6/2025 0:00,5312.27,0,5312.27
INV00019,SR003,CUST046,30/11/2024 0:00,29/1/2025 0:00,23810.4,0,23810.4
INV00030,SR003,CUST074,1/12/2023 0:00,30/1/2024 0:00,14486.5,7243.25,7243.25
INV00041,SR003,CUST075,5/2/2024 0:00,21/3/2024 0:00,9676.43,4838.22,4838.21
INV00046,SR003,CUST021,29/7/2023 0:00,28/8/2023 0:00,21205.46,5301.36,15904.1
INV00048,SR003,CUST010,4/12/2024 0:00,2/2/2025 0:00,4790.52,0,4790.52
INV00049,SR003,CUST101,17/11/2024 0:00,17/12/2024 0:00,16982.73,0,16982.73
INV00052,SR003,CUST064,1/2/2025 0:00,18/3/2025 0:00,21914.76,5478.69,16436.07
INV00064,SR003,CUST062,23/7/2024 0:00,22/8/2024 0:00,12410.2,3102.55,9307.65
INV00078,SR003,CUST062,21/1/2023 0:00,22/3/2023 0:00,24989.16,0,24989.16
INV00079,SR003,CUST084,30/10/2023 0:00,29/11/2023 0:00,19351.5,0,19351.5
INV00082,SR003,CUST086,23/7/2024 0:00,22/8/2024 0:00,4682.35,3511.76,1170.59
INV00096,SR003,CUST078,22/1/2024 0:00,21/2/2024 0:00,4436.65,0,4436.65
INV00097,SR003,CUST095,15/12/2023 0:00,13/2/2024 0:00,1111.81,0,1111.81
INV00098,SR003,CUST052,17/8/2025 0:00,16/9/2025 0:00,11501.45,8626.09,2875.36
INV00100,SR003,CUST111,13/1/2024 0:00,12/2/2024 0:00,1715.55,857.78,857.77
INV00101,SR003,CUST016,17/6/2025 0:00,16/8/2025 0:00,18252.66,0,18252.66
INV00107,SR003,CUST052,4/6/2024 0:00,4/7/2024 0:00,20135.42,10067.71,10067.71
INV00112,SR003,CUST016,15/5/2024 0:00,14/6/2024 0:00,6304.87,6304.87,0
INV00117,SR003,CUST042,23/12/2025 0:00,21/2/2026 0:00,2121.05,2121.05,0
INV00121,SR003,CUST095,4/12/2023 0:00,2/2/2024 0:00,19493.48,14620.11,4873.37
INV00127,SR003,CUST075,12/4/2023 0:00,12/5/2023 0:00,23363.52,5840.88,17522.64
INV00129,SR003,CUST111,2/8/2023 0:00,1/10/2023 0:00,15480.86,0,15480.86
INV00132,SR003,CUST074,7/6/2025 0:00,7/7/2025 0:00,21278.68,15959.01,5319.67
INV00138,SR003,CUST046,24/7/2025 0:00,23/8/2025 0:00,24102.33,0,24102.33
INV00140,SR003,CUST040,2/1/2023 0:00,1/2/2023 0:00,18043.22,0,18043.22
INV00141,SR003,CUST042,13/8/2023 0:00,12/9/2023 0:00,17803.03,0,17803.03
INV00155,SR003,CUST086,13/11/2023 0:00,13/12/2023 0:00,2014.31,1007.16,1007.15
INV00170,SR003,CUST091,14/2/2024 0:00,30/3/2024 0:00,20526.49,5131.62,15394.87
INV00171,SR003,CUST074,13/6/2025 0:00,13/7/2025 0:00,19047.68,9523.84,9523.84
INV00175,SR003,CUST067,14/1/2023 0:00,13/2/2023 0:00,16756.33,12567.25,4189.08
INV00189,SR003,CUST077,2/7/2025 0:00,31/8/2025 0:00,3437.33,0,3437.33
INV00191,SR003,CUST062,2/7/2024 0:00,16/8/2024 0:00,13520.65,6760.32,6760.33
INV00203,SR003,CUST032,8/6/2023 0:00,7/8/2023 0:00,16637.2,4159.3,12477.9
INV00207,SR003,CUST021,15/3/2025 0:00,14/5/2025 0:00,16597.25,16597.25,0
INV00211,SR003,CUST075,13/8/2025 0:00,27/9/2025 0:00,764.87,0,764.87
INV00212,SR003,CUST101,1/6/2023 0:00,31/7/2023 0:00,20750.5,20750.5,0
INV00230,SR003,CUST016,21/1/2025 0:00,7/3/2025 0:00,23488.74,0,23488.74
INV00233,SR003,CUST075,9/6/2024 0:00,8/8/2024 0:00,6861.94,1715.48,5146.46
INV00235,SR003,CUST074,2/1/2023 0:00,16/2/2023 0:00,11065.23,2766.31,8298.92
INV00237,SR003,CUST016,20/10/2023 0:00,19/11/2023 0:00,1733.56,1733.56,0
INV00254,SR003,CUST101,7/7/2025 0:00,5/9/2025 0:00,2574.86,1287.43,1287.43
INV00257,SR003,CUST064,21/9/2024 0:00,20/11/2024 0:00,21102.26,5275.56,15826.7
INV00265,SR003,CUST084,9/11/2023 0:00,9/12/2023 0:00,23347.59,0,23347.59
INV00266,SR003,CUST077,29/7/2024 0:00,27/9/2024 0:00,3406.77,1703.38,1703.39
INV00271,SR003,CUST046,5/6/2023 0:00,4/8/2023 0:00,12152.11,0,12152.11
INV00280,SR003,CUST010,21/10/2025 0:00,20/12/2025 0:00,3350.78,3350.78,0
INV00293,SR003,CUST111,30/8/2023 0:00,14/10/2023 0:00,3093.92,1546.96,1546.96
INV00300,SR003,CUST086,31/5/2023 0:00,15/7/2023 0:00,4953.58,0,4953.58
INV00304,SR003,CUST077,10/6/2025 0:00,25/7/2025 0:00,10769.98,8077.48,2692.5
INV00306,SR003,CUST098,28/10/2025 0:00,12/12/2025 0:00,22043.59,0,22043.59
INV00310,SR003,CUST021,31/5/2024 0:00,30/7/2024 0:00,18421.42,9210.71,9210.71
INV00317,SR003,CUST095,10/8/2024 0:00,9/10/2024 0:00,15930.61,7965.3,7965.31
INV00323,SR003,CUST101,12/12/2025 0:00,26/1/2026 0:00,18421.66,13816.24,4605.42
INV00326,SR003,CUST074,6/10/2025 0:00,5/11/2025 0:00,20906.78,5226.7,15680.08
INV00327,SR003,CUST074,4/12/2024 0:00,3/1/2025 0:00,13737.27,3434.32,10302.95
INV00331,SR003,CUST078,7/8/2024 0:00,6/10/2024 0:00,22918.99,22918.99,0
INV00333,SR003,CUST110,3/5/2024 0:00,17/6/2024 0:00,21183.2,0,21183.2
