Payment ID,Invoice No,Payment Date,Amount Paid
PAY000001,INV00235,21/1/2023 0:00,1383.16
PAY000002,INV00225,28/1/2023 0:00,1692.65
PAY000003,INV01107,29/1/2023 0:00,17139.48
PAY000004,INV00140,30/1/2023 0:00,12640
PAY000005,INV00400,30/1/2023 0:00,13832.87
PAY000006,INV00664,2/2/2023 0:00,4118.22
PAY000007,INV01199,3/2/2023 0:00,167.77
PAY000008,INV00157,4/2/2023 0:00,4488.38
PAY000009,INV01016,8/2/2023 0:00,3702.57
PAY000010,INV01466,11/2/2023 0:00,12130.28
PAY000011,INV00752,14/2/2023 0:00,4609.24
PAY000012,INV00243,17/2/2023 0:00,1673.76
PAY000013,INV00982,17/2/2023 0:00,2776.4
PAY000014,INV00225,19/2/2023 0:00,1692.64
PAY000015,INV00205,20/2/2023 0:00,11353
PAY000016,INV00378,22/2/2023 0:00,6228.41
PAY000017,INV00175,23/2/2023 0:00,12567.25
PAY000018,INV01302,26/2/2023 0:00,3159.17
PAY000019,INV00658,27/2/2023 0:00,2576.72
PAY000020,INV00235,28/2/2023 0:00,1383.15
PAY000021,INV01449,2/3/2023 0:00,16839.72
PAY000022,INV00658,4/3/2023 0:00,2576.72
PAY000023,INV00016,4/3/2023 0:00,12357
PAY000024,INV00858,6/3/2023 0:00,20039.09
PAY000025,INV00938,7/3/2023 0:00,14288
PAY000026,INV00786,7/3/2023 0:00,11316
PAY000027,INV00545,8/3/2023 0:00,22973.07
PAY000028,INV00999,8/3/2023 0:00,12751.43
PAY000029,INV01036,8/3/2023 0:00,4978.93
PAY000030,INV00785,8/3/2023 0:00,5901.95
PAY000031,INV00386,10/3/2023 0:00,2695.22
PAY000032,INV00336,11/3/2023 0:00,2014.37
PAY000033,INV00587,11/3/2023 0:00,23961.98
PAY000034,INV00249,11/3/2023 0:00,9095.07
PAY000035,INV01256,12/3/2023 0:00,575.67
PAY000036,INV00366,14/3/2023 0:00,2212.76
PAY000037,INV01233,14/3/2023 0:00,2577.58
PAY000038,INV01402,14/3/2023 0:00,17828.33
PAY000039,INV00057,14/3/2023 0:00,17966
PAY000040,INV00370,15/3/2023 0:00,19350
PAY000041,INV00169,16/3/2023 0:00,11328.41
PAY000042,INV00078,19/3/2023 0:00,12388
PAY000043,INV00430,20/3/2023 0:00,11546
PAY000044,INV00483,22/3/2023 0:00,19598.16
PAY000045,INV01340,25/3/2023 0:00,3518.21
PAY000046,INV01256,26/3/2023 0:00,575.67
PAY000047,INV00169,27/3/2023 0:00,11328.4
PAY000048,INV00849,28/3/2023 0:00,2911.39
PAY000049,INV01482,28/3/2023 0:00,2581.67
PAY000050,INV01281,31/3/2023 0:00,15847
PAY000051,INV00243,1/4/2023 0:00,1673.75
PAY000052,INV00413,1/4/2023 0:00,5130.99
PAY000053,INV00752,3/4/2023 0:00,4609.24
PAY000054,INV01257,4/4/2023 0:00,1012.82
PAY000055,INV01169,6/4/2023 0:00,18108.59
PAY000056,INV00250,6/4/2023 0:00,9382.72
PAY000057,INV00031,8/4/2023 0:00,2519.56
PAY000058,INV01225,8/4/2023 0:00,1131.26
PAY000059,INV00081,9/4/2023 0:00,20775.05
PAY000060,INV00366,9/4/2023 0:00,2212.77
PAY000061,INV01315,9/4/2023 0:00,4450.89
PAY000062,INV01361,9/4/2023 0:00,12029
PAY000063,INV01082,9/4/2023 0:00,14353
PAY000064,INV00486,10/4/2023 0:00,1112.55
PAY000065,INV01309,10/4/2023 0:00,1375.04
PAY000066,INV00135,13/4/2023 0:00,9303.57
PAY000067,INV00413,13/4/2023 0:00,5131
PAY000068,INV01458,13/4/2023 0:00,3471.92
PAY000069,INV01466,13/4/2023 0:00,12130.28
PAY000070,INV00543,14/4/2023 0:00,3805.58
PAY000071,INV01233,14/4/2023 0:00,2577.58
PAY000072,INV00693,15/4/2023 0:00,8331.21
PAY000073,INV00693,18/4/2023 0:00,8331.2
PAY000074,INV00068,20/4/2023 0:00,5584.75
PAY000075,INV01164,20/4/2023 0:00,1709.47
PAY000076,INV00001,21/4/2023 0:00,5270.66
PAY000077,INV01361,21/4/2023 0:00,12028.99
PAY000078,INV00119,21/4/2023 0:00,13656
PAY000079,INV00688,22/4/2023 0:00,10317.25
PAY000080,INV01322,23/4/2023 0:00,3199.84
PAY000081,INV00061,23/4/2023 0:00,11728.93
PAY000082,INV01211,25/4/2023 0:00,10583.22
